Horodateur,Consentement,Vous êtes actuellement :,Série de votre baccalauréat,Quelle formation suivez-vous ?,Matières que vous préfériez au lycée,"Autres matières qui vous plaisaient, non listées ci-dessus",Compétences que vous aviez déjà au lycée,Ce qui vous intéressait au lycée,Environnement de travail que vous imaginiez,"Aujourd'hui, êtes-vous satisfait·e de ce choix ?","Avec le recul, referiez-vous le même choix ?","Si non, ou si vous hésitez : quelle formation aurait mieux convenu ?",Série de votre baccalauréat,Quelle formation avez-vous suivie ?,Quel métier exercez-vous aujourd'hui ?,Matières que vous préfériez avant vos études,"Autres matières qui vous plaisaient, non listées ci-dessus",Compétences que vous aviez déjà avant vos études,Ce qui vous intéressait avant vos études,Environnement de travail que vous imaginiez,Votre formation correspond-elle au métier que vous exercez ?,"Avec le recul, quelle formation aurait le mieux correspondu à votre profil de l'époque ?",Un commentaire à ajouter ?
26/08/2026 18:20:29,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Professionnel·le en activité, études terminées",,,,,,,,,,,D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Développeur fullstack orienté DEVOPS,"Physique, Sciences de la Terre",,Aucune en particulier,"Technologie, Robotique, Droit / justice",Bureau,4,"ESIIA — Électronique, Systèmes Informatiques et Intelligence Artificielle",
26/08/2026 20:07:37,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,DTJA — Droit et Techniques Juridiques des Affaires,"Chimie, Sciences de la Terre, Langues, Histoire, Géographie",,Rédaction,"Agriculture, Santé, Droit / justice",Bureau,3,Je ne sais pas,TEH — Tourisme et Hôtellerie,D,DTJA — Droit et Techniques Juridiques des Affaires,Encore étudiante ,"Chimie, Sciences de la Terre, Langues, Histoire, Géographie",,Rédaction,"Santé, Droit / justice, Culture, Voyage, Hôtellerie",Bureau,5,TEH — Tourisme et Hôtellerie,Rien à ajouter
26/08/2026 20:45:43,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,"ESIIA — Électronique, Systèmes Informatiques et Intelligence Artificielle",Sciences de la Terre,,Aucune en particulier,"Agriculture, Nature / environnement, Recherche",Laboratoire,3,Oui,,D,"ESIIA — Électronique, Systèmes Informatiques et Intelligence Artificielle",étudiant ,Sciences de la Terre,,Aucune en particulier,Agriculture,Atelier ou usine,3,AEE — Agriculture / développement rural,
26/08/2026 20:59:35,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",C,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Mathématiques,,Statistiques,"Technologie, Logiciels",Sans préférence,3,Non,,C,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Informaticien,Mathématiques,,Programmation,"Technologie, Logiciels",Sans préférence,3,Une formation hors ISPM,
26/08/2026 21:20:01,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Sciences de la Terre,EPS,"Algorithmique, Aucune en particulier","Technologie, Logiciels, Matériel informatique, Machines",Bureau,4,Oui,,D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Etudiant,Informatique,,"Programmation, Algorithmique","Technologie, Logiciels",Bureau,3,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",
26/08/2026 21:20:32,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle","Mathématiques, Physique, Chimie, Biologie, Sciences de la Terre, Informatique, Électronique, Gestion",,"Dessin technique, Rédaction, Accueil / relation client","Technologie, Logiciels, Matériel informatique, Construction, Ressources naturelles, Santé, Recherche, Commerce, Entrepreneuriat, Finance, Droit / justice, Culture",Bureau,5,Oui,,D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Développement web,"Mathématiques, Physique, Chimie, Biologie, Sciences de la Terre, Informatique, Électronique",,"Dessin technique, Accueil / relation client","Technologie, Logiciels, Matériel informatique, Construction, Urbanisme, Industrie, Ressources naturelles, Nature / environnement, Santé, Recherche, Commerce, Entrepreneuriat, Finance, Droit / justice",Bureau,5,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",
26/08/2026 21:24:05,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",S,"ICMP — Industries Chimiques, Minières et Pétrolières","Mathématiques, Physique, Chimie",,"Statistiques, Rédaction, Accueil / relation client","Construction, Industrie, Agriculture, Voyage",Terrain / extérieur,2,Non,IAA — Industries Agro-Alimentaires,S,"ICMP — Industries Chimiques, Minières et Pétrolières",Administratif ,"Mathématiques, Physique, Chimie",,"Rédaction, Accueil / relation client","Agriculture, Santé, Voyage",Laboratoire,1,IAA — Industries Agro-Alimentaires,
26/08/2026 21:58:23,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle","Mathématiques, Physique, Chimie, Langues",,"Rédaction, Accueil / relation client","Technologie, Logiciels, Robotique, Machines, Commerce, Finance, Voyage",Bureau,3,Non,Une formation hors ISPM,D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",etudiant,,,,,,3,Une formation hors ISPM,bof
26/08/2026 22:10:43,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle","Mathématiques, Informatique, Langues, Histoire, Géographie",,Aucune en particulier,"Technologie, Matériel informatique, Machines, Entrepreneuriat",Bureau,4,Oui,"ESIIA — Électronique, Systèmes Informatiques et Intelligence Artificielle",D,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",développement web et cyber sécurité ,"Mathématiques, Langues, Histoire, Géographie",,Aucune en particulier,"Technologie, Logiciels, Machines",Bureau,4,"ESIIA — Électronique, Systèmes Informatiques et Intelligence Artificielle",
26/08/2026 22:45:13,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet.,"Étudiant·e, en cours d'études",C,"ISAIA — Informatique, Statistique Appliquée et Intelligence Artificielle","Mathématiques, Sciences de la Terre",Musique,Comptabilité,"Technologie, Logiciels, Recherche",Terrain / extérieur,4,Oui,GCA — Génie Civil et Architecture,C,"IGGLIA — Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Étudiant chercheur,"Mathématiques, Sciences de la Terre, Informatique, Mécanique, Gestion",,"Statistiques, Analyse de données, Comptabilité","Technologie, Matériel informatique, Ressources naturelles, Santé, Voyage",Contact direct avec des clients,4,EMII — Électromécanique et Techniques Industrielles Informatisées,
